# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	6.049020e-04	3.547660e-05	2	6.545490e-03	2.447390e-04	2	false	GAMG	2.060900e-02	6.024090e-04	2	true
44            	smoothSolver	4.677130e-04	2.834500e-05	2	5.961450e-03	2.107990e-04	2	false	GAMG	2.056570e-02	5.935590e-04	2	true
45            	smoothSolver	6.057170e-04	3.493640e-05	2	6.314560e-03	2.343470e-04	2	false	GAMG	1.961870e-02	5.733240e-04	2	true
46            	smoothSolver	4.770070e-04	2.752660e-05	2	5.930600e-03	2.077760e-04	2	false	GAMG	2.087290e-02	5.919380e-04	2	true
47            	smoothSolver	5.896540e-04	3.264690e-05	2	6.445820e-03	2.417200e-04	2	false	GAMG	2.058380e-02	5.937520e-04	2	true
48            	smoothSolver	4.527220e-04	2.558440e-05	2	5.901350e-03	2.074560e-04	2	false	GAMG	2.055360e-02	5.814810e-04	2	true
49            	smoothSolver	5.907490e-04	3.214070e-05	2	6.266650e-03	2.319800e-04	2	false	GAMG	1.959450e-02	5.645380e-04	2	true
50            	smoothSolver	4.631200e-04	2.493750e-05	2	5.897080e-03	2.062670e-04	2	false	GAMG	2.086160e-02	5.823110e-04	2	true
51            	smoothSolver	5.758880e-04	3.001210e-05	2	6.409040e-03	2.398740e-04	2	false	GAMG	2.056510e-02	5.871930e-04	2	true
52            	smoothSolver	4.395440e-04	2.312210e-05	2	5.868540e-03	2.066520e-04	2	false	GAMG	2.054190e-02	5.752480e-04	2	true
53            	smoothSolver	5.777290e-04	2.969470e-05	2	6.228150e-03	2.313720e-04	2	false	GAMG	1.957680e-02	5.615210e-04	2	true
54            	smoothSolver	4.508550e-04	2.269450e-05	2	5.867170e-03	2.063940e-04	2	false	GAMG	2.085010e-02	5.802160e-04	2	true
55            	smoothSolver	5.634110e-04	2.773940e-05	2	6.375870e-03	2.393450e-04	2	false	GAMG	2.055050e-02	5.858770e-04	2	true
56            	smoothSolver	4.281040e-04	2.101240e-05	2	5.848040e-03	2.069120e-04	2	false	GAMG	2.053000e-02	5.746770e-04	2	true
57            	smoothSolver	5.658480e-04	2.763640e-05	2	6.208360e-03	2.307820e-04	2	false	GAMG	1.956370e-02	5.595910e-04	2	true
58            	smoothSolver	4.404760e-04	2.076040e-05	2	5.859150e-03	2.058340e-04	2	false	GAMG	2.083630e-02	5.789990e-04	2	true
59            	smoothSolver	5.524090e-04	2.584150e-05	2	6.376160e-03	2.381510e-04	2	false	GAMG	2.053560e-02	5.818980e-04	2	true
60            	smoothSolver	4.182140e-04	1.921140e-05	2	5.855720e-03	2.059700e-04	2	false	GAMG	2.051300e-02	5.712380e-04	2	true
