# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	5.677060e-04	3.713000e-05	6	1.305190e-02	9.467420e-04	2	false	GAMG	1.168290e-02	8.992010e-04	2	true
44            	smoothSolver	5.961480e-04	4.231020e-05	6	1.281570e-02	9.105720e-04	2	false	GAMG	1.094280e-02	7.280750e-04	2	true
45            	smoothSolver	4.549010e-04	3.076770e-05	6	1.180480e-02	8.294980e-04	2	false	GAMG	1.133290e-02	8.012080e-04	2	true
46            	smoothSolver	4.755740e-04	3.305490e-05	6	1.145120e-02	7.958220e-04	2	false	GAMG	1.072410e-02	6.986010e-04	2	true
47            	smoothSolver	3.638360e-04	2.626820e-05	6	1.057920e-02	7.253610e-04	2	false	GAMG	1.105250e-02	7.185620e-04	2	true
48            	smoothSolver	4.017120e-04	2.527700e-05	6	1.009380e-02	6.924650e-04	2	false	GAMG	1.049910e-02	6.786050e-04	2	true
49            	smoothSolver	3.371770e-04	2.299870e-05	6	9.414030e-03	6.348830e-04	2	false	GAMG	1.081040e-02	6.497670e-04	2	true
50            	smoothSolver	3.877540e-04	3.607520e-05	4	8.802500e-03	5.967500e-04	2	false	GAMG	1.028120e-02	6.677150e-04	2	true
51            	smoothSolver	3.709270e-04	2.082050e-05	6	8.250560e-03	5.608480e-04	2	false	GAMG	1.062150e-02	5.818500e-04	2	true
52            	smoothSolver	4.102570e-04	2.966480e-05	4	7.468360e-03	4.959260e-04	2	false	GAMG	1.011480e-02	6.456650e-04	2	true
53            	smoothSolver	3.959940e-04	3.487410e-05	4	7.280510e-03	4.952090e-04	2	false	GAMG	1.042630e-02	5.291640e-04	2	true
54            	smoothSolver	4.190520e-04	2.594360e-05	4	6.286710e-03	4.183890e-04	2	false	GAMG	9.971160e-03	6.025560e-04	2	true
55            	smoothSolver	3.980480e-04	3.159160e-05	4	6.307500e-03	4.198840e-04	2	false	GAMG	1.025140e-02	5.043960e-04	2	true
56            	smoothSolver	4.095110e-04	2.280240e-05	4	5.398900e-03	3.619520e-04	2	false	GAMG	9.798320e-03	5.610130e-04	2	true
57            	smoothSolver	3.857990e-04	2.755020e-05	4	5.428870e-03	3.620950e-04	2	false	GAMG	1.008660e-02	4.783430e-04	2	true
58            	smoothSolver	3.819100e-04	1.936570e-05	4	4.655730e-03	3.163950e-04	2	false	GAMG	9.618210e-03	5.237450e-04	2	true
59            	smoothSolver	3.470940e-04	2.304250e-05	4	4.669690e-03	3.144420e-04	2	false	GAMG	9.942590e-03	4.490630e-04	2	true
60            	smoothSolver	3.366970e-04	1.587430e-05	4	4.052840e-03	2.787770e-04	2	false	GAMG	9.468150e-03	4.858940e-04	2	true
