# y+ ()       
# Time        	patch         	min           	max           	average       
430           	obsticalTop	1.132965e+01	5.831508e+01	4.322734e+01
440           	obstical	3.262630e+01	1.790725e+03	5.374262e+02
440           	obsticalTop	1.141243e+01	5.831401e+01	4.322463e+01
450           	obstical	4.047932e+01	1.790721e+03	5.375055e+02
450           	obsticalTop	1.137409e+01	5.831390e+01	4.321614e+01
460           	obstical	4.820570e+01	1.790740e+03	5.383444e+02
460           	obsticalTop	1.130240e+01	5.831185e+01	4.320114e+01
470           	obstical	5.608192e+01	1.790732e+03	5.400426e+02
470           	obsticalTop	1.135730e+01	5.831071e+01	4.319635e+01
480           	obstical	6.332440e+01	1.790739e+03	5.406087e+02
480           	obsticalTop	1.139150e+01	5.831148e+01	4.319514e+01
490           	obstical	6.345269e+01	1.790754e+03	5.405971e+02
490           	obsticalTop	1.132146e+01	5.831026e+01	4.318366e+01
500           	obstical	6.618787e+01	1.790744e+03	5.415202e+02
500           	obsticalTop	1.130745e+01	5.830849e+01	4.317392e+01
510           	obstical	6.801120e+01	1.790735e+03	5.423553e+02
510           	obsticalTop	1.135243e+01	5.830957e+01	4.317366e+01
520           	obstical	6.782656e+01	1.790746e+03	5.423961e+02
520           	obsticalTop	1.132988e+01	5.830907e+01	4.316773e+01
530           	obstical	6.900501e+01	1.790778e+03	5.426475e+02
530           	obsticalTop	1.129564e+01	5.830735e+01	4.315822e+01
540           	obstical	7.067355e+01	1.790784e+03	5.431701e+02
540           	obsticalTop	1.130764e+01	5.830745e+01	4.315465e+01
550           	obstical	7.145922e+01	1.790773e+03	5.433901e+02
550           	obsticalTop	1.130503e+01	5.830791e+01	4.315143e+01
560           	obstical	7.216101e+01	1.790780e+03	5.435595e+02
560           	obsticalTop	1.128750e+01	5.830720e+01	4.314525e+01
570           	obstical	7.300397e+01	1.790799e+03	5.437672e+02
570           	obsticalTop	1.128453e+01	5.830699e+01	4.314110e+01
580           	obstical	7.373967e+01	1.790825e+03	5.439159e+02
580           	obsticalTop	1.127542e+01	5.830685e+01	4.313729e+01
590           	obstical	7.467560e+01	1.790830e+03	5.441232e+02
590           	obsticalTop	1.126922e+01	5.830625e+01	4.313251e+01
600           	obstical	7.531193e+01	1.790829e+03	5.442165e+02
600           	obsticalTop	1.126795e+01	5.830697e+01	4.313017e+01
