# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	1.951540e-03	1.634660e-04	10	3.571040e-03	3.024040e-04	9	false	GAMG	7.834230e-03	7.661270e-04	12	true
44            	smoothSolver	1.901540e-03	1.619450e-04	10	3.476550e-03	3.026730e-04	9	false	GAMG	7.472660e-03	7.395250e-04	13	true
45            	smoothSolver	1.860850e-03	1.605340e-04	10	3.375340e-03	3.018850e-04	9	false	GAMG	7.014190e-03	6.942790e-04	14	true
46            	smoothSolver	1.811610e-03	1.589510e-04	10	3.308440e-03	3.007800e-04	9	false	GAMG	6.744140e-03	6.695850e-04	15	true
47            	smoothSolver	1.770990e-03	1.572760e-04	10	3.235710e-03	3.017680e-04	9	false	GAMG	6.405360e-03	6.167320e-04	16	true
48            	smoothSolver	1.730330e-03	1.555020e-04	10	3.212590e-03	3.082560e-04	9	false	GAMG	6.245520e-03	6.234640e-04	16	true
49            	smoothSolver	1.688550e-03	1.538500e-04	10	3.215050e-03	3.122050e-04	9	false	GAMG	5.964410e-03	5.728760e-04	17	true
50            	smoothSolver	1.662660e-03	1.520150e-04	10	3.217540e-03	3.129490e-04	9	false	GAMG	5.848540e-03	5.644110e-04	17	true
51            	smoothSolver	1.634870e-03	1.502020e-04	10	3.202200e-03	3.111750e-04	9	false	GAMG	5.613800e-03	5.540240e-04	17	true
52            	smoothSolver	1.607690e-03	1.484170e-04	10	3.168210e-03	3.091230e-04	9	false	GAMG	5.507520e-03	5.329220e-04	16	true
53            	smoothSolver	1.588670e-03	1.466510e-04	10	3.121920e-03	3.082720e-04	9	false	GAMG	5.301820e-03	5.164010e-04	17	true
54            	smoothSolver	1.560260e-03	1.450370e-04	10	3.091770e-03	3.054190e-04	9	false	GAMG	5.211330e-03	5.147220e-04	17	true
55            	smoothSolver	1.533520e-03	1.435600e-04	10	3.044660e-03	3.002660e-04	9	false	GAMG	4.962070e-03	4.767570e-04	18	true
56            	smoothSolver	1.513250e-03	1.418220e-04	10	2.970960e-03	2.948040e-04	9	false	GAMG	4.781440e-03	4.596530e-04	19	true
57            	smoothSolver	1.490130e-03	1.399210e-04	10	2.868960e-03	2.378690e-04	10	false	GAMG	4.497630e-03	4.405580e-04	19	true
58            	smoothSolver	1.463070e-03	1.383010e-04	10	2.776290e-03	2.323520e-04	10	false	GAMG	4.263250e-03	4.157850e-04	20	true
59            	smoothSolver	1.437720e-03	1.370840e-04	10	2.726590e-03	2.277690e-04	10	false	GAMG	3.985330e-03	3.833820e-04	21	true
60            	smoothSolver	1.410630e-03	1.357660e-04	10	2.676070e-03	2.242790e-04	10	false	GAMG	3.828770e-03	3.693530e-04	21	true
61            	smoothSolver	1.382100e-03	1.342660e-04	10	2.632280e-03	2.241480e-04	10	false	GAMG	3.670730e-03	3.550790e-04	21	true
62            	smoothSolver	1.359800e-03	1.323700e-04	10	2.585470e-03	2.239340e-04	10	false	GAMG	3.571840e-03	3.552790e-04	20	true
63            	smoothSolver	1.336500e-03	1.302660e-04	10	2.540230e-03	2.235680e-04	10	false	GAMG	3.429980e-03	3.376380e-04	20	true
64            	smoothSolver	1.309460e-03	1.279990e-04	10	2.522760e-03	2.225220e-04	10	false	GAMG	3.363060e-03	3.321260e-04	19	true
65            	smoothSolver	1.286910e-03	1.262160e-04	10	2.523450e-03	2.232540e-04	10	false	GAMG	3.263000e-03	3.203640e-04	18	true
66            	smoothSolver	1.265100e-03	1.245730e-04	10	2.521640e-03	2.238350e-04	10	false	GAMG	3.170940e-03	3.120110e-04	18	true
67            	smoothSolver	1.247850e-03	1.230650e-04	10	2.505150e-03	2.240060e-04	10	false	GAMG	3.054270e-03	2.923830e-04	17	true
68            	smoothSolver	1.228160e-03	1.214090e-04	10	2.482450e-03	2.224620e-04	10	false	GAMG	3.005180e-03	2.945520e-04	18	true
69            	smoothSolver	1.210540e-03	1.197150e-04	10	2.466680e-03	2.209020e-04	10	false	GAMG	2.932920e-03	2.928750e-04	18	true
70            	smoothSolver	1.191200e-03	1.179500e-04	10	2.457870e-03	2.202240e-04	10	false	GAMG	2.873040e-03	2.847120e-04	18	true
71            	smoothSolver	1.174140e-03	1.164070e-04	10	2.435090e-03	2.191510e-04	10	false	GAMG	2.809170e-03	2.770490e-04	18	true
72            	smoothSolver	1.157700e-03	1.148810e-04	10	2.404120e-03	2.164820e-04	10	false	GAMG	2.757900e-03	2.715250e-04	18	true
73            	smoothSolver	1.142120e-03	1.134640e-04	10	2.364670e-03	2.124640e-04	10	false	GAMG	2.683020e-03	2.634860e-04	18	true
74            	smoothSolver	1.124510e-03	1.119140e-04	10	2.314390e-03	2.085570e-04	10	false	GAMG	2.623860e-03	2.567990e-04	18	true
75            	smoothSolver	1.106800e-03	1.105440e-04	10	2.267110e-03	2.052450e-04	10	false	GAMG	2.542240e-03	2.490330e-04	18	true
76            	smoothSolver	1.091070e-03	8.873450e-05	11	2.217860e-03	2.017960e-04	10	false	GAMG	2.463140e-03	2.419520e-04	18	true
77            	smoothSolver	1.073910e-03	8.759270e-05	11	2.176640e-03	1.990550e-04	10	false	GAMG	2.347480e-03	2.343800e-04	18	true
78            	smoothSolver	1.056500e-03	8.636610e-05	11	2.113250e-03	1.937490e-04	10	false	GAMG	2.246790e-03	2.175310e-04	19	true
79            	smoothSolver	1.042960e-03	8.518820e-05	11	2.049630e-03	1.874270e-04	10	false	GAMG	2.126040e-03	2.079770e-04	19	true
80            	smoothSolver	1.022680e-03	8.401870e-05	11	1.991070e-03	1.824340e-04	10	false	GAMG	2.031750e-03	2.012390e-04	19	true
81            	smoothSolver	1.002650e-03	8.303650e-05	11	1.954110e-03	1.787270e-04	10	false	GAMG	1.945610e-03	1.919510e-04	19	true
82            	smoothSolver	9.876200e-04	8.208280e-05	11	1.919810e-03	1.765610e-04	10	false	GAMG	1.876450e-03	1.807500e-04	19	true
83            	smoothSolver	9.732820e-04	8.117170e-05	11	1.883280e-03	1.746070e-04	10	false	GAMG	1.810660e-03	1.761730e-04	18	true
84            	smoothSolver	9.595650e-04	8.016380e-05	11	1.863430e-03	1.739560e-04	10	false	GAMG	1.749860e-03	1.693530e-04	18	true
85            	smoothSolver	9.438570e-04	7.913340e-05	11	1.839500e-03	1.728670e-04	10	false	GAMG	1.681510e-03	1.676840e-04	17	true
86            	smoothSolver	9.327490e-04	7.801240e-05	11	1.814920e-03	1.712320e-04	10	false	GAMG	1.636420e-03	1.573980e-04	17	true
87            	smoothSolver	9.191650e-04	7.685840e-05	11	1.804630e-03	1.700710e-04	10	false	GAMG	1.601670e-03	1.544750e-04	16	true
88            	smoothSolver	9.033480e-04	7.562420e-05	11	1.800640e-03	1.698890e-04	10	false	GAMG	1.576720e-03	1.572580e-04	14	true
89            	smoothSolver	8.900310e-04	7.441660e-05	11	1.786690e-03	1.687300e-04	10	false	GAMG	1.556210e-03	1.475790e-04	15	true
90            	smoothSolver	8.777650e-04	7.322680e-05	11	1.755860e-03	1.667800e-04	10	false	GAMG	1.538650e-03	1.484810e-04	13	true
91            	smoothSolver	8.659960e-04	7.212800e-05	11	1.728790e-03	1.644150e-04	10	false	GAMG	1.519090e-03	1.464390e-04	14	true
92            	smoothSolver	8.537440e-04	7.101700e-05	11	1.701250e-03	1.617520e-04	10	false	GAMG	1.496050e-03	1.488780e-04	13	true
93            	smoothSolver	8.421150e-04	6.995880e-05	11	1.679010e-03	1.593210e-04	10	false	GAMG	1.472150e-03	1.373380e-04	13	true
94            	smoothSolver	8.280750e-04	6.886870e-05	11	1.664510e-03	1.571940e-04	10	false	GAMG	1.446640e-03	1.357400e-04	13	true
95            	smoothSolver	8.155900e-04	6.790370e-05	11	1.629280e-03	1.542820e-04	10	false	GAMG	1.407980e-03	1.388440e-04	12	true
96            	smoothSolver	8.044950e-04	6.696400e-05	11	1.592300e-03	1.517160e-04	10	false	GAMG	1.370030e-03	1.272760e-04	13	true
97            	smoothSolver	7.931780e-04	6.613070e-05	11	1.555550e-03	1.485440e-04	10	false	GAMG	1.326660e-03	1.232730e-04	12	true
98            	smoothSolver	7.808100e-04	6.529820e-05	11	1.518730e-03	1.450880e-04	10	false	GAMG	1.290040e-03	1.218480e-04	11	true
99            	smoothSolver	7.716830e-04	6.452820e-05	11	1.484110e-03	1.416870e-04	10	false	GAMG	1.253560e-03	1.227190e-04	11	true
100           	smoothSolver	7.613330e-04	6.377940e-05	11	1.438170e-03	1.384970e-04	10	false	GAMG	1.203050e-03	1.180050e-04	12	true
101           	smoothSolver	7.506220e-04	6.310790e-05	11	1.403910e-03	1.356860e-04	10	false	GAMG	1.152320e-03	1.097820e-04	13	true
102           	smoothSolver	7.434570e-04	6.240670e-05	11	1.372970e-03	1.326880e-04	10	false	GAMG	1.115430e-03	1.061850e-04	13	true
103           	smoothSolver	7.325750e-04	6.170730e-05	11	1.346630e-03	1.299820e-04	10	false	GAMG	1.087760e-03	1.084850e-04	13	true
104           	smoothSolver	7.222350e-04	6.099750e-05	11	1.314810e-03	1.280160e-04	10	false	GAMG	1.055540e-03	9.922510e-05	14	true
105           	smoothSolver	7.139910e-04	6.030690e-05	11	1.303080e-03	1.274950e-04	10	false	GAMG	1.022880e-03	9.639550e-05	15	true
106           	smoothSolver	7.040280e-04	5.958660e-05	11	1.290200e-03	1.271260e-04	10	false	GAMG	9.970300e-04	9.814770e-05	14	true
107           	smoothSolver	6.945750e-04	5.887330e-05	11	1.275510e-03	1.265790e-04	10	false	GAMG	9.675790e-04	9.014630e-05	14	true
108           	smoothSolver	6.867790e-04	5.812610e-05	11	1.266420e-03	1.256800e-04	10	false	GAMG	9.498080e-04	8.919490e-05	15	true
109           	smoothSolver	6.804530e-04	5.743840e-05	11	1.253970e-03	1.249130e-04	10	false	GAMG	9.378750e-04	9.363130e-05	13	true
110           	smoothSolver	6.715700e-04	5.673980e-05	11	1.250110e-03	1.017520e-04	11	false	GAMG	9.320360e-04	9.133410e-05	14	true
111           	smoothSolver	6.663990e-04	5.611200e-05	11	1.239090e-03	1.006810e-04	11	false	GAMG	9.206480e-04	8.640970e-05	15	true
112           	smoothSolver	6.613000e-04	5.547250e-05	11	1.232970e-03	1.228120e-04	10	false	GAMG	9.105150e-04	8.889370e-05	14	true
113           	smoothSolver	6.553120e-04	5.480200e-05	11	1.237720e-03	1.236510e-04	10	false	GAMG	9.113510e-04	8.854900e-05	15	true
114           	smoothSolver	6.492910e-04	5.414840e-05	11	1.239230e-03	1.239120e-04	10	false	GAMG	9.143460e-04	9.043500e-05	14	true
115           	smoothSolver	6.440830e-04	5.354000e-05	11	1.242190e-03	1.009870e-04	11	false	GAMG	9.289780e-04	9.152800e-05	15	true
116           	smoothSolver	6.397840e-04	5.299870e-05	11	1.232870e-03	1.230370e-04	10	false	GAMG	9.320370e-04	8.617670e-05	15	true
117           	smoothSolver	6.329130e-04	5.240600e-05	11	1.236970e-03	1.235330e-04	10	false	GAMG	9.394980e-04	9.240360e-05	14	true
118           	smoothSolver	6.303660e-04	5.183010e-05	11	1.231950e-03	1.000530e-04	11	false	GAMG	9.543430e-04	9.092340e-05	16	true
119           	smoothSolver	6.242770e-04	5.133870e-05	11	1.212040e-03	9.842440e-05	11	false	GAMG	9.580480e-04	9.448250e-05	15	true
120           	smoothSolver	6.221430e-04	5.086070e-05	11	1.199760e-03	1.193920e-04	10	false	GAMG	9.514160e-04	9.126470e-05	15	true
121           	smoothSolver	6.161450e-04	5.033480e-05	11	1.199540e-03	1.191460e-04	10	false	GAMG	9.383730e-04	8.855520e-05	17	true
122           	smoothSolver	6.118470e-04	4.983640e-05	11	1.193410e-03	1.185330e-04	10	false	GAMG	9.114430e-04	8.676960e-05	15	true
