# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
158           	smoothSolver	2.508140e-04	1.913010e-05	3	8.097640e-04	7.047930e-05	3	4.538400e-03	3.771700e-04	3	false	GAMG	7.123280e-04	6.090100e-05	2	true
159           	smoothSolver	2.274950e-04	1.696450e-05	3	7.602390e-04	5.907710e-05	3	4.442810e-03	3.359220e-04	3	false	GAMG	7.649580e-04	6.169890e-05	2	true
160           	smoothSolver	2.099450e-04	1.528720e-05	3	7.040430e-04	4.912980e-05	3	4.352190e-03	2.989200e-04	3	false	GAMG	8.076750e-04	6.349800e-05	2	true
161           	smoothSolver	1.925500e-04	1.386300e-05	3	6.216290e-04	4.115900e-05	3	4.051220e-03	2.700810e-04	3	false	GAMG	8.278650e-04	6.432910e-05	2	true
162           	smoothSolver	1.806270e-04	1.270040e-05	3	5.309660e-04	3.525210e-05	3	3.753610e-03	2.468600e-04	3	false	GAMG	8.214290e-04	6.435690e-05	2	true
163           	smoothSolver	1.668110e-04	1.164260e-05	3	4.560450e-04	3.098610e-05	3	3.491430e-03	2.265000e-04	3	false	GAMG	7.871570e-04	6.065840e-05	2	true
164           	smoothSolver	1.590830e-04	1.078450e-05	3	4.113910e-04	2.794680e-05	3	3.331480e-03	2.092980e-04	3	false	GAMG	7.516140e-04	5.632890e-05	2	true
165           	smoothSolver	1.470600e-04	9.970080e-06	3	3.679860e-04	2.544130e-05	3	3.095630e-03	1.940820e-04	3	false	GAMG	6.976280e-04	4.992260e-05	2	true
166           	smoothSolver	1.409290e-04	9.309070e-06	3	3.389700e-04	2.347850e-05	3	2.952680e-03	1.811340e-04	3	false	GAMG	6.574810e-04	4.497550e-05	2	true
167           	smoothSolver	1.301460e-04	8.653560e-06	3	3.075270e-04	2.159070e-05	3	2.708590e-03	1.689090e-04	3	false	GAMG	6.027490e-04	3.904570e-05	2	true
168           	smoothSolver	1.249830e-04	8.113970e-06	3	2.863000e-04	2.002370e-05	3	2.573170e-03	1.582590e-04	3	false	GAMG	5.660060e-04	3.505300e-05	2	true
169           	smoothSolver	1.147270e-04	7.558170e-06	3	2.604500e-04	1.848080e-05	3	2.332610e-03	1.477950e-04	3	false	GAMG	5.150080e-04	3.019830e-05	2	true
170           	smoothSolver	1.104230e-04	7.093190e-06	3	2.447800e-04	1.721940e-05	3	2.216160e-03	1.386820e-04	3	false	GAMG	4.861330e-04	2.714170e-05	2	true
171           	smoothSolver	1.010910e-04	6.605550e-06	3	2.246190e-04	1.595970e-05	3	1.997760e-03	1.296150e-04	3	false	GAMG	4.415270e-04	2.329280e-05	2	true
172           	smoothSolver	9.758180e-05	6.192720e-06	3	2.139240e-04	1.495710e-05	3	1.899970e-03	1.217280e-04	3	false	GAMG	4.179880e-04	2.104610e-05	2	true
173           	smoothSolver	8.914120e-05	5.758900e-06	3	1.974880e-04	1.395350e-05	3	1.709570e-03	1.137710e-04	3	false	GAMG	3.803080e-04	1.809810e-05	2	true
174           	smoothSolver	8.671750e-05	9.707820e-06	2	1.905370e-04	1.313730e-05	3	1.638870e-03	1.068390e-04	3	false	GAMG	3.598190e-04	1.632490e-05	2	true
175           	smoothSolver	7.998700e-05	9.270050e-06	2	1.770040e-04	1.219120e-05	3	1.466220e-03	9.786670e-05	3	false	GAMG	3.278670e-04	1.423880e-05	2	true
176           	smoothSolver	7.884760e-05	8.882100e-06	2	1.726320e-04	1.141550e-05	3	1.407550e-03	9.057720e-05	3	false	GAMG	3.112970e-04	1.331230e-05	2	true
177           	smoothSolver	7.268790e-05	8.401160e-06	2	1.620340e-04	1.063510e-05	3	1.264800e-03	8.391170e-05	3	false	GAMG	2.845130e-04	1.191060e-05	2	true
178           	smoothSolver	7.189260e-05	8.003790e-06	2	1.584590e-04	9.993700e-06	3	1.224190e-03	7.863750e-05	3	false	GAMG	2.709960e-04	1.114250e-05	2	true
179           	smoothSolver	6.651670e-05	7.548860e-06	2	1.503940e-04	9.324750e-06	3	1.104920e-03	7.339250e-05	3	false	GAMG	2.492690e-04	1.011040e-05	2	true
180           	smoothSolver	6.604710e-05	7.165610e-06	2	1.467840e-04	8.740670e-06	3	1.076990e-03	6.883350e-05	3	false	GAMG	2.380660e-04	9.395480e-06	2	true
181           	smoothSolver	6.140540e-05	6.765750e-06	2	1.392280e-04	8.144290e-06	3	9.784090e-04	6.421430e-05	3	false	GAMG	2.196490e-04	8.707860e-06	2	true
