# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	9.495150e-03	6.398970e-04	5	5.609480e-02	3.746660e-03	2	false	GAMG	1.764410e-02	1.225380e-03	3	true
44            	smoothSolver	9.348430e-03	6.431520e-04	5	5.149470e-02	3.303970e-03	2	false	GAMG	1.628540e-02	1.124280e-03	3	true
45            	smoothSolver	9.203300e-03	6.459870e-04	5	4.810410e-02	2.850840e-03	2	false	GAMG	1.530910e-02	1.061090e-03	3	true
46            	smoothSolver	8.913790e-03	6.484050e-04	5	4.408930e-02	2.489340e-03	2	false	GAMG	1.439840e-02	1.018560e-03	3	true
47            	smoothSolver	8.626400e-03	6.504060e-04	5	4.052770e-02	2.106900e-03	2	false	GAMG	1.356370e-02	9.756390e-04	3	true
48            	smoothSolver	8.354000e-03	6.520510e-04	5	3.739710e-02	1.920470e-03	2	false	GAMG	1.294430e-02	9.505530e-04	3	true
49            	smoothSolver	8.128030e-03	6.534500e-04	5	3.512960e-02	1.687820e-03	2	false	GAMG	1.227660e-02	9.277330e-04	3	true
50            	smoothSolver	7.950220e-03	6.546730e-04	5	3.324350e-02	1.570080e-03	2	false	GAMG	1.171850e-02	9.064450e-04	3	true
51            	smoothSolver	7.795590e-03	6.559320e-04	5	3.111900e-02	1.450320e-03	2	false	GAMG	1.116980e-02	8.857340e-04	3	true
52            	smoothSolver	7.730190e-03	6.573190e-04	5	2.937790e-02	1.403260e-03	2	false	GAMG	1.061970e-02	8.593870e-04	3	true
53            	smoothSolver	7.725350e-03	6.588520e-04	5	2.806030e-02	1.334200e-03	2	false	GAMG	1.012690e-02	8.262490e-04	3	true
54            	smoothSolver	7.726510e-03	6.605900e-04	5	2.721260e-02	1.234080e-03	2	false	GAMG	9.648480e-03	7.831450e-04	3	true
55            	smoothSolver	7.683520e-03	6.624360e-04	5	2.621900e-02	1.197060e-03	2	false	GAMG	9.119400e-03	7.355840e-04	3	true
56            	smoothSolver	7.612610e-03	6.643530e-04	5	2.505910e-02	1.184180e-03	2	false	GAMG	8.661510e-03	6.831860e-04	3	true
57            	smoothSolver	7.508480e-03	6.662620e-04	5	2.358750e-02	1.167910e-03	2	false	GAMG	8.203070e-03	6.313220e-04	3	true
58            	smoothSolver	7.382380e-03	6.680690e-04	5	2.206030e-02	1.077970e-03	2	false	GAMG	7.803470e-03	5.823210e-04	3	true
59            	smoothSolver	7.271350e-03	6.696650e-04	5	2.056130e-02	9.673770e-04	2	false	GAMG	7.419040e-03	5.358690e-04	3	true
60            	smoothSolver	7.185560e-03	6.710000e-04	5	1.921270e-02	8.640010e-04	2	false	GAMG	7.005740e-03	4.931900e-04	3	true
61            	smoothSolver	7.125020e-03	6.720300e-04	5	1.786390e-02	1.710820e-03	1	false	GAMG	6.865070e-03	4.544670e-04	3	true
62            	smoothSolver	7.050600e-03	6.726360e-04	5	1.625590e-02	1.516830e-03	1	false	GAMG	6.386440e-03	4.119530e-04	3	true
63            	smoothSolver	6.969590e-03	6.728890e-04	5	1.473760e-02	1.336190e-03	1	false	GAMG	5.963660e-03	3.759590e-04	3	true
