# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	5.959400e-04	5.195910e-05	8	1.552870e-02	1.263290e-03	3	false	GAMG	8.126170e-04	7.628580e-05	6	true
44            	smoothSolver	5.487300e-04	4.725980e-05	8	1.504940e-02	1.196670e-03	3	false	GAMG	7.560180e-04	7.205650e-05	6	true
45            	smoothSolver	5.047300e-04	4.293660e-05	8	1.452260e-02	1.127650e-03	3	false	GAMG	7.066590e-04	6.799390e-05	6	true
46            	smoothSolver	4.653100e-04	3.908080e-05	8	1.395480e-02	1.055940e-03	3	false	GAMG	6.691110e-04	6.303550e-05	6	true
47            	smoothSolver	4.288120e-04	3.559910e-05	8	1.333630e-02	9.822330e-04	3	false	GAMG	6.355710e-04	5.903400e-05	6	true
48            	smoothSolver	3.952610e-04	3.245760e-05	8	1.267940e-02	9.074660e-04	3	false	GAMG	6.038690e-04	5.556550e-05	6	true
49            	smoothSolver	3.645590e-04	2.963680e-05	8	1.198510e-02	8.323690e-04	3	false	GAMG	5.758570e-04	5.231040e-05	6	true
50            	smoothSolver	3.366860e-04	2.711870e-05	8	1.126180e-02	1.117200e-03	2	false	GAMG	5.435860e-04	2.787750e-05	8	true
51            	smoothSolver	3.118070e-04	2.489160e-05	8	1.088020e-02	7.701850e-04	3	false	GAMG	5.818370e-04	4.475120e-05	6	true
52            	smoothSolver	2.886860e-04	2.291470e-05	8	9.809640e-03	9.580340e-04	2	false	GAMG	4.812500e-04	4.644600e-05	6	true
53            	smoothSolver	2.682930e-04	2.118150e-05	8	9.263040e-03	6.310450e-04	3	false	GAMG	5.386530e-04	4.221380e-05	6	true
54            	smoothSolver	2.501250e-04	1.965860e-05	8	8.377000e-03	7.751700e-04	2	false	GAMG	4.399100e-04	3.952920e-05	6	true
55            	smoothSolver	2.333000e-04	1.833600e-05	8	7.810770e-03	7.398090e-04	2	false	GAMG	4.172960e-04	3.384180e-05	6	true
56            	smoothSolver	2.184150e-04	1.718930e-05	8	7.160610e-03	6.834210e-04	2	false	GAMG	4.011130e-04	3.041000e-05	6	true
57            	smoothSolver	2.051310e-04	1.619240e-05	8	6.504740e-03	6.169320e-04	2	false	GAMG	3.847560e-04	2.823640e-05	6	true
58            	smoothSolver	1.932180e-04	1.532910e-05	8	5.879820e-03	5.497530e-04	2	false	GAMG	3.668280e-04	2.566420e-05	6	true
59            	smoothSolver	1.825520e-04	1.458090e-05	8	5.286780e-03	4.860920e-04	2	false	GAMG	3.477420e-04	2.312530e-05	6	true
60            	smoothSolver	1.730480e-04	1.393170e-05	8	4.733270e-03	4.280780e-04	2	false	GAMG	3.281690e-04	2.070450e-05	6	true
61            	smoothSolver	1.645850e-04	1.336740e-05	8	4.221040e-03	3.764000e-04	2	false	GAMG	3.086700e-04	1.844670e-05	6	true
62            	smoothSolver	1.570540e-04	1.287370e-05	8	3.751010e-03	3.311220e-04	2	false	GAMG	2.895330e-04	1.635630e-05	6	true
63            	smoothSolver	1.503930e-04	1.243870e-05	8	3.323060e-03	2.919760e-04	2	false	GAMG	2.710170e-04	1.443980e-05	6	true
